Bairro,Cidade,Estado,Valor do Imóvel,Quantidade de Cômodos,Tipo de Imóvel,Vagas de Garagem,Área (m²),Ano de Construção,Valor do Condomínio,Distância do Centro (km),Se tem Elevador,Se tem Piscina,Se está mobiliado,Idade_Imovel(Anos)
Santana,São Paulo,SP,1238739.05,5,Apartamento,3,101.8,1988,1431.63,1.0,True,True,False,37
Buritis,Belo Horizonte,MG,334451.35,2,Casa,2,55.6,2021,,5.6,True,False,False,4
Ipanema,Rio de Janeiro,RJ,409588.09,3,Apartamento,0,61.9,2000,1099.65,5.7,True,True,True,25
Santana,São Paulo,SP,573524.6,2,Casa,0,56.2,1972,,0.8,True,False,False,53
Vila Mariana,São Paulo,SP,532431.75,2,Apartamento,1,53.4,1997,783.13,0.8,True,True,False,28
Tijuca,Rio de Janeiro,RJ,247427.22,2,Casa,2,32.6,2013,,6.6,True,False,False,12
Barro Preto,Belo Horizonte,MG,1119162.26,5,Casa,1,,1985,,0.7,True,False,False,40
Leblon,Rio de Janeiro,RJ,747173.32,4,Apartamento,1,78.4,2019,325.15,6.9,True,False,False,6
Centro,Belo Horizonte,MG,1266031.13,7,Casa,2,125.4,2009,,5.9,True,True,False,16
Pampulha,Belo Horizonte,MG,992686.46,5,Casa,0,84.0,2013,,2.2,True,True,False,12
Vila Mariana,São Paulo,SP,469231.62,2,Apartamento,1,54.9,2014,426.98,0.8,True,False,False,11
Santana,São Paulo,SP,640864.62,2,Casa,2,,1983,,6.5,True,False,False,42
Centro,Belo Horizonte,MG,358860.44,2,Apartamento,1,54.7,2005,836.54,6.5,True,False,True,20
Botafogo,Rio de Janeiro,RJ,925235.4,6,Apartamento,1,102.2,1998,518.71,1.3,True,False,True,27
Copacabana,Rio de Janeiro,RJ,573137.79,2,Casa,2,67.9,1970,,6.4,True,False,True,55
Pampulha,Belo Horizonte,MG,1202538.75,4,Casa,3,105.7,1991,,4.1,True,False,True,34
Botafogo,Rio de Janeiro,RJ,472906.16,2,Casa,2,78.3,1999,,4.5,True,False,False,26
Moema,São Paulo,SP,844286.3,5,Apartamento,1,85.0,2013,1016.39,-0.6,True,False,False,12
Pinheiros,São Paulo,SP,312931.04,2,Apartamento,0,29.1,2016,646.82,7.4,True,False,True,9
Savassi,Belo Horizonte,MG,620490.71,4,Casa,2,75.5,1998,,8.0,True,True,False,27
Barro Preto,Belo Horizonte,MG,814214.15,5,Apartamento,0,84.1,2019,1019.12,7.5,True,False,False,6
Tijuca,Rio de Janeiro,RJ,1287607.05,8,Casa,3,162.3,1998,,5.0,True,False,False,27
Leblon,Rio de Janeiro,RJ,386980.44,2,Casa,,38.6,2003,,1.0,True,False,False,22
Tijuca,Rio de Janeiro,RJ,653027.75,4,Apartamento,0,69.1,2004,750.1,5.3,True,False,False,21
Moema,São Paulo,SP,631405.94,4,Apartamento,1,93.6,1998,355.51,4.5,True,True,False,27
Copacabana,Rio de Janeiro,RJ,733169.39,2,Casa,2,71.6,1977,,9.1,True,False,True,48
Centro,Belo Horizonte,MG,613312.84,4,Apartamento,0,61.8,1998,676.12,8.2,True,False,False,27
Copacabana,Rio de Janeiro,RJ,591136.82,3,Casa,1,79.6,2019,,-1.4,True,False,True,6
Barro Preto,Belo Horizonte,MG,448785.88,3,Apartamento,0,61.3,2000,745.64,4.3,True,False,False,25
Barro Preto,Belo Horizonte,MG,752997.25,3,Apartamento,0,71.5,2015,384.53,7.8,True,True,True,10
Pinheiros,São Paulo,SP,904202.73,6,Apartamento,1,106.2,1971,568.75,6.0,True,False,True,54
Pampulha,Belo Horizonte,MG,805668.15,5,Apartamento,3,92.6,1994,930.87,5.7,True,False,False,31
Savassi,Belo Horizonte,MG,732887.48,3,Casa,2,77.3,1996,,8.0,True,False,False,29
Buritis,Belo Horizonte,MG,914331.26,5,Casa,2,92.4,2012,,1.5,True,True,False,13
Botafogo,Rio de Janeiro,RJ,1366839.25,6,Casa,3,127.7,1980,,8.1,True,True,False,45
Barro Preto,Belo Horizonte,MG,237333.1,2,Apartamento,0,29.6,2019,695.72,5.5,True,True,False,6
Barro Preto,Belo Horizonte,MG,720106.1,5,Casa,3,98.2,2023,,8.6,True,False,True,2
Pampulha,Belo Horizonte,MG,490117.75,4,Apartamento,1,68.7,1979,1278.06,5.6,True,True,True,46
Santana,São Paulo,SP,1092528.37,6,Apartamento,2,101.6,2022,729.21,3.1,True,False,False,3
Pinheiros,São Paulo,SP,936074.41,4,Casa,1,109.2,1995,,6.5,True,False,False,30
Botafogo,Rio de Janeiro,RJ,419920.2,2,Apartamento,1,46.0,1999,1067.12,1.7,True,False,False,26
Copacabana,Rio de Janeiro,RJ,1114909.29,5,Casa,3,108.8,1996,,10.7,True,True,True,29
Pinheiros,São Paulo,SP,632011.31,5,Apartamento,2,85.9,1987,1196.45,6.2,True,False,False,38
Vila Mariana,São Paulo,SP,623360.56,5,Casa,1,106.6,2015,,4.5,True,False,False,10
Botafogo,Rio de Janeiro,RJ,695989.76,4,Apartamento,2,83.1,2013,1270.03,3.2,True,False,False,12
Centro,Belo Horizonte,MG,46231.58,2,Casa,2,4.9,2010,,9.6,True,False,False,15
Buritis,Belo Horizonte,MG,1107888.18,6,Apartamento,1,123.1,2013,1364.2,1.8,True,False,False,12
Moema,São Paulo,SP,551375.92,4,Apartamento,2,,1984,1338.31,4.5,True,False,False,41
Pinheiros,São Paulo,SP,487660.99,2,Apartamento,1,59.9,1981,1286.34,1.4,True,False,True,44
Copacabana,Rio de Janeiro,RJ,351570.91,2,Apartamento,1,44.0,2012,1111.83,2.2,True,False,False,13
Pampulha,Belo Horizonte,MG,742342.85,5,Casa,3,122.7,1980,,1.8,True,False,False,45
Tijuca,Rio de Janeiro,RJ,818658.3,5,Casa,1,92.5,2007,,10.7,True,False,False,18
Copacabana,Rio de Janeiro,RJ,394875.99,2,Apartamento,2,39.6,1989,870.65,6.8,True,True,False,36
Santana,São Paulo,SP,341835.21,2,Apartamento,2,52.3,2016,467.71,4.9,True,True,False,9
Barro Preto,Belo Horizonte,MG,230180.57,2,Casa,1,37.1,2013,,14.7,True,False,False,12
Vila Mariana,São Paulo,SP,676998.16,5,Casa,2,92.3,1994,,6.9,True,False,False,31
Centro,Belo Horizonte,MG,525675.85,2,Casa,0,44.3,2009,,4.7,True,True,True,16
Pinheiros,São Paulo,SP,484382.55,2,Apartamento,1,48.4,2018,1318.02,1.2,True,False,False,7
Moema,São Paulo,SP,657716.85,3,Apartamento,2,73.4,1994,938.03,2.0,True,False,True,31
Buritis,Belo Horizonte,MG,907329.84,8,Casa,2,140.8,1979,,10.3,True,False,False,46
Copacabana,Rio de Janeiro,RJ,956420.54,5,Apartamento,3,105.2,1986,988.24,-2.1,True,False,False,39
Botafogo,Rio de Janeiro,RJ,622838.02,4,Apartamento,,96.5,1991,1116.83,6.0,True,True,False,34
Barro Preto,Belo Horizonte,MG,512386.11,2,Casa,2,64.4,1999,,9.1,True,True,False,26
Ipanema,Rio de Janeiro,RJ,652351.67,4,Casa,1,92.1,2019,,4.0,True,False,False,6
Centro,Belo Horizonte,MG,444784.81,3,Casa,1,50.5,1994,,5.8,True,False,True,31
Tatuapé,São Paulo,SP,1219609.69,6,Apartamento,1,140.5,1995,1404.14,5.2,True,False,True,30
Barro Preto,Belo Horizonte,MG,766769.56,5,Apartamento,3,120.9,1981,1258.57,0.6,True,False,True,44
Vila Mariana,São Paulo,SP,708637.52,5,Casa,1,83.9,2004,,7.1,True,False,True,21
Pinheiros,São Paulo,SP,834862.22,5,Apartamento,2,,2015,1031.95,8.4,True,False,True,10
Savassi,Belo Horizonte,MG,783606.1,5,Casa,2,117.0,1991,,6.6,True,False,False,34
Barro Preto,Belo Horizonte,MG,688565.38,6,Casa,1,103.6,2002,,6.4,True,False,False,23
Tatuapé,São Paulo,SP,849060.66,4,Apartamento,3,116.1,1985,313.84,9.8,True,False,False,40
Centro,Belo Horizonte,MG,1010203.29,5,Apartamento,2,110.3,1992,392.24,4.6,True,True,False,33
Barro Preto,Belo Horizonte,MG,428382.36,4,Apartamento,1,63.0,1981,748.72,6.5,True,False,True,44
Tijuca,Rio de Janeiro,RJ,996549.38,5,Casa,3,99.3,1980,,7.2,True,False,False,45
Moema,São Paulo,SP,735062.48,3,Casa,,78.2,1975,,5.8,True,False,True,50
Santana,São Paulo,SP,465832.5,3,Casa,1,46.7,2020,,2.5,True,False,True,5
Moema,São Paulo,SP,489392.11,4,Casa,0,74.3,2009,,5.1,True,False,True,16
Barro Preto,Belo Horizonte,MG,525684.1,4,Apartamento,0,64.1,2011,1148.15,-0.0,True,False,False,14
Savassi,Belo Horizonte,MG,970881.53,3,Apartamento,0,85.3,1984,389.73,3.6,True,False,True,41
Copacabana,Rio de Janeiro,RJ,778128.31,4,Apartamento,1,114.9,2013,1394.39,9.1,True,False,False,12
Moema,São Paulo,SP,671134.11,4,Casa,1,107.5,1999,,5.4,True,False,False,26
Vila Mariana,São Paulo,SP,811110.56,7,Casa,2,122.7,1986,,1.2,True,False,True,39
Pinheiros,São Paulo,SP,481880.3,3,Apartamento,1,73.0,1988,642.04,7.5,True,False,False,37
Leblon,Rio de Janeiro,RJ,716403.6,3,Casa,2,91.6,1973,,5.0,True,False,False,52
